id,company,assignee,title,inventor/author,priority.date,filing/creation.date,publication.date,grant.date,result.link,representative.figure.link,inventorlocation
US-2570818-A,Boeing,Boeing Co,Tank filler pipe and closure ,"John F Kirkbride, Philip C Whitener",16866,16866,18910,18910,https://patents.google.com/patent/US2570818A/en,https://patentimages.storage.googleapis.com/23/56/86/e505b434c53a8d/US2570818-drawings-page-1.png,"irkbride and Philip C-..Whitcner, Seattle, Wash., "
US-2952244-A,Boeing,Boeing Co,Combined stabilization and control system ,"Hans G Krauss, Melvin J Simon",21244,21244,22172,22172,https://patents.google.com/patent/US2952244A/en,https://patentimages.storage.googleapis.com/f0/e7/ea/7ca26b9b02a0c9/US2952244-drawings-page-1.png,"us, Bromall, and Melvin J. Simon, Havertown, Pan, "
US-2692784-A,Boeing,Boeing Co,Hinged strut lock ,Jr Forbes W Mcrae,19380,19380,20023,20023,https://patents.google.com/patent/US2692784A/en,https://patentimages.storage.googleapis.com/5d/29/83/ca18eb8f5aa702/US2692784-drawings-page-1.png,"D STRUT LOCK Forbes W. McRae, Jr., Seattle, Wash, "
US-2377073-A,Boeing,Boeing Aireraft Company,Lateral aircraft gun emplacement ,Waldo W Eaton,15194,15194,16586,16586,https://patents.google.com/patent/US2377073A/en,https://patentimages.storage.googleapis.com/da/e4/50/e0a1c76377b122/US2377073-drawings-page-1.png," EMPLACEMENT Waldo W. Eaton, near Seattle, Wash., "
US-2565733-A,Boeing,Boeing Co,Aircraft engine mount ,John F Korsberg,16625,16625,18868,18868,https://patents.google.com/patent/US2565733A/en,https://patentimages.storage.googleapis.com/b5/2b/44/81c12aa6eb2a41/US2565733-drawings-page-1.png,"ntEMoiJNT -John F. Korsb'e'rg, Seattle, =\/Vashi; "
US-2688338-A,Boeing,Boeing Co,Fluid regulating device ,George C Newell,18763,18763,19974,19974,https://patents.google.com/patent/US2688338A/en,https://patentimages.storage.googleapis.com/0c/3d/ad/7a10a27e771596/US2688338-drawings-page-1.png,". Newell, Boeing Airplane Delaware Seattle, Wash, "
US-2437135-A,Boeing,Boeing Co,Airplane landing gear and emergency release mechanism therefor ,"Gordon R Steinhoff, James W Blair",16015,16015,17594,17594,https://patents.google.com/patent/US2437135A/en,https://patentimages.storage.googleapis.com/69/c5/c6/a228063a2ef654/US2437135-drawings-page-1.png,"Monica, Calif., and James W. Blair, Tulsa, Okla., "
US-2065146-A,Boeing,Boeing Co,Retractable landing gear ,"Roy W Morse, Lysle A Wood",12196,12196,13506,13506,https://patents.google.com/patent/US2065146A/en,https://patentimages.storage.googleapis.com/08/b2/67/8507e58dfa2433/US2065146-drawings-page-1.png,"R Roy W. Morse and Lysle A. Wood, Seattle, Wash., "
US-2550028-A,Boeing,Boeing Co,Retractable landing gear ,Edward C Wells,17678,17678,18742,18742,https://patents.google.com/patent/US2550028A/en,https://patentimages.storage.googleapis.com/6b/78/c3/4f7eee52a73ce0/US2550028-drawings-page-1.png,"BLE LANoiNo GEAR Edward 0.. Wells, Seattle, Wash, "
US-2113692-A,Boeing,Boeing Aircraft Co,Fuel tank for aircraft ,"Edwin A Hughes, Robert J Minshall",13298,13298,13982,13982,https://patents.google.com/patent/US2113692A/en,https://patentimages.storage.googleapis.com/d5/42/4c/afc5fd1a44cfca/US2113692-drawings-page-1.png,"Hughes and' Robert J. Minshalt seattle, f 
Wash., "
US-2845151-A,Boeing,Boeing Co,Tube skin joint structure ,Richard S Reinhold,20366,20366,21395,21395,https://patents.google.com/patent/US2845151A/en,https://patentimages.storage.googleapis.com/38/f0/fa/078ab46727e95b/US2845151-drawings-page-1.png,"INT STRUCTURE Richard S. Reinhold, Seattle, Wash, "
US-2757362-A,Boeing,Boeing Co,Fuel tank leak detector ,George A Gutkowski,20043,20043,20667,20667,https://patents.google.com/patent/US2757362A/en,https://patentimages.storage.googleapis.com/b1/69/b8/90d41467290d53/US2757362-drawings-page-1.png,"EAK DETECTOR George A. Gutkowski, Seattle, Wasln, "
US-2475293-A,Boeing,Boeing Co,Aircraft rotor drive ,"Horace T Pentecost, Albert W Bliler, Jr Waine Archer",16333,16333,18084,18084,https://patents.google.com/patent/US2475293A/en,https://patentimages.storage.googleapis.com/24/a0/15/917c188aad10ef/US2475293-drawings-page-1.png,"olls, and Waine Archer, Jr., near Seattle, Wash., "
US-2718365-A,Boeing,Boeing Co,Deformation compensator for aircraft controls ,Roland J White,19479,19479,20352,20352,https://patents.google.com/patent/US2718365A/en,https://patentimages.storage.googleapis.com/7f/70/d3/22e6795d1a974e/US2718365-drawings-page-1.png,"IRCRAFT CONTROLS Roland J. White, Seattle, Wash., "
US-2478882-A,Boeing,Boeing Co,Linear movement rudder pedal and linkage ,Edward C Welis,16419,16419,18119,18119,https://patents.google.com/patent/US2478882A/en,https://patentimages.storage.googleapis.com/ad/32/bb/51a06e4996d3e4/US2478882-drawings-page-1.png,"UBBER ANB LINK-AGE Edward Gr Wells Seattle, Wash, "
US-2872133-A,Boeing,Boeing Co,Automatic fuel controls for regulating aircraft mach no. in accordance with change of altitude ,Bernard I Seeger,19634,19634,21584,21584,https://patents.google.com/patent/US2872133A/en,https://patentimages.storage.googleapis.com/7f/95/84/ca18879080f205/US2872133-drawings-page-1.png,"NGE OF ALTITUDE Bernard I. Seeger, Seattle, Wash, "
